domain,dem_prop,rep_prop,bias_score
alaska-native-news.com,0.0,3.814065746083913e-07,
alaskansfordonyoung.com,0.0,0.0004368965799142,
alaskapublic.org,0.0,8.911890206703386e-05,-0.5353
alaskasnewssource.com,0.0,9.302599380692472e-09,
albanyherald.com,0.0001902146985393,5.028985225202349e-05,-0.2253
albertleatribune.com,0.0,2.772174615446356e-05,
albiosiresnj.com,0.0001268320073973,0.0,
alceeforcongress.com,0.0003552895209845,0.0,
aldianews.com,0.0002466387667342,0.0,-0.6573
alec.org,0.0,8.000235467395524e-07,0.5078
aledotimesrecord.com,0.0,1.6223733319927667e-05,
alestlelive.com,0.0,0.0001131010032704,
alexandriagazette.com,8.04387201528931e-05,0.0,
alexandrialivingmagazine.com,3.494117054313044e-05,0.0,
alexcityoutlook.com,0.0,1.674467888524645e-07,
algemeiner.com,1.125224136134709e-06,0.0,0.4911
alhambrasource.org,2.4466222170560617e-05,0.0,
alicetx.com,0.0,1.9265683317414105e-05,
aljazeera.com,0.000138432179906,8.149077057486603e-06,-0.5265
allawson.com,0.0003485233705869,0.0,
allhiphop.com,1.4805580738614592e-08,0.0,-0.304
allmusic.com,0.0003550748400638,0.0,-0.4004
allongeorgia.com,0.0,4.158261923169534e-05,
allotsego.com,1.473155283492152e-06,0.0,
allstate.com,0.0,9.11654739307862e-07,0.4768
almaadamsforcongress.com,0.0004678785597113,0.0,
almanacnews.com,6.455233202035963e-06,0.0,
alreporter.com,0.0002281243880205,0.0018262770078181,
altamontenterprise.com,2.775306109453305e-05,0.0,
altavistajournal.com,0.0,1.5126026593005955e-05,
alternet.org,3.242422181756596e-06,3.790809247632182e-05,-0.6378
altoday.com,5.485467663656707e-06,8.522111292652371e-05,
altoonamirror.com,0.0,5.875521768845364e-05,0.2917
alxnow.com,1.0415726049615369e-05,0.0,
am920theanswer.com,0.0,1.088404127541019e-06,
am970theanswer.com,0.0,2.995437000582975e-06,
amarillo.com,0.0,1.5200447388051497e-05,0.4287
amazinavenue.com,1.0437934420723288e-05,0.0,-0.0476
amazon.com,1.9987533997129707e-07,2.055874463133036e-05,0.058
amchp.org,1.1104185553960945e-07,0.0,
american.edu,6.732837840884986e-05,0.0,-0.4506
americanbanker.com,7.966882995448513e-05,0.0001603489055249,0.1483
americanbazaaronline.com,0.0001478559320461,0.0,
americandope.com,0.0,9.302599380692472e-09,
americanindependent.com,6.410816459820119e-06,5.054102243530219e-05,
americanprogress.org,7.4027903693072975e-09,0.0,-0.7806
americansall.org,7.4027903693072975e-09,0.0,
americansecuritynews.com,0.0001158240581181,0.0,
americansecurityproject.org,7.001559131290841e-05,0.0,
americustimesrecorder.com,0.0001406086002746,0.0,
ameripriseadvisors.com,0.0,2.697753820400816e-07,
amestrib.com,9.031404250554904e-06,1.1535223232058664e-05,0.2889
amgreatness.com,1.2584743627822406e-07,0.0,0.8711
ammoland.com,4.4416742215843785e-08,0.0,0.7631
amnews.com,0.0,8.372339442623223e-08,
amny.com,8.611666036615179e-05,0.0,-0.4638
amodeifornevada.com,0.0,0.0002274671600566,
amsterdamnews.com,6.521858315359729e-06,0.0,-0.8401
anchoragepress.com,0.0,9.302599380692472e-09,
andnowuknow.com,1.2917869194441232e-05,0.0,
andrecarson.com,0.0003549489926275,0.0,
andthevalleyshook.com,0.0,5.5815596284154816e-08,0.628
andybarrforcongress.com,0.0,0.0004311661786957,
andybiggs.com,0.0,0.0001097985804903,
andyharris.com,0.0,0.0004455386947388,
andykimforcongress.com,0.0004014385161467,0.0,
andykimmusic.com,0.0002938315553385,0.0,
andylevin.com,7.313956884875609e-06,0.0,
andylevinforcongress.com,0.0003705170607741,0.0,
angelusnews.com,2.0883271631815883e-05,7.593711874459264e-05,
angiecraig.com,0.0003491378021876,0.0,
annaeshoo4congress.com,0.0003535202540862,0.0,
annanews.com,0.0,1.974011588582942e-05,
annistonstar.com,0.0,4.751767763657713e-05,0.1353
annwagner.com,0.0,0.0004357523601903,
anthonybrown.com,0.0003613894202488,0.0,
antimusic.com,0.0,4.055933329981917e-06,
apa.org,6.596626498089732e-05,0.0,-0.3689
apnews.com,0.0023349215131735,0.0022434334718465,-0.3279
app.com,0.0001965514870954,0.0,0.0875
appeal-democrat.com,5.771955650948899e-05,0.0,
apr.org,0.0,2.3340221846157408e-05,
arabamericannews.com,1.2614354789299634e-05,0.0,
arabianbusiness.com,3.227616601017981e-06,0.0,-0.1763
architecturaldigest.com,2.984805076904702e-05,0.0,-0.0305
