qry,state,district
Don Young,AK,0.0
Bradley Byrne,AL,1.0
Martha Roby,AL,2.0
Mike Rogers,AL,3.0
Robert Aderholt,AL,4.0
Mo Brooks,AL,5.0
Gary Palmer,AL,6.0
Terri Sewell,AL,7.0
Rick Crawford,AR,1.0
French Hill,AR,2.0
Steve Womack,AR,3.0
Bruce Westerman,AR,4.0
Amata Coleman Radewagen,AS,0.0
Tom O'Halleran,AZ,1.0
Ann Kirkpatrick,AZ,2.0
Raúl Grijalva,AZ,3.0
Paul Gosar,AZ,4.0
Andy Biggs,AZ,5.0
David Schweikert,AZ,6.0
Ruben Gallego,AZ,7.0
Debbie Lesko,AZ,8.0
Greg Stanton,AZ,9.0
Doug LaMalfa,CA,1.0
Jared Huffman,CA,2.0
John Garamendi,CA,3.0
Tom McClintock,CA,4.0
Mike Thompson,CA,5.0
Doris Matsui,CA,6.0
Ami Bera,CA,7.0
Paul Cook,CA,8.0
Jerry McNerney,CA,9.0
Josh Harder,CA,10.0
Mark DeSaulnier,CA,11.0
Nancy Pelosi,CA,12.0
Barbara Lee,CA,13.0
Jackie Speier,CA,14.0
Eric Swalwell,CA,15.0
Jim Costa,CA,16.0
Ro Khanna,CA,17.0
Anna Eshoo,CA,18.0
Zoe Lofgren,CA,19.0
Jimmy Panetta,CA,20.0
TJ Cox,CA,21.0
Devin Nunes,CA,22.0
Kevin McCarthy,CA,23.0
Salud Carbajal,CA,24.0
Julia Brownley,CA,26.0
Judy Chu,CA,27.0
Adam Schiff,CA,28.0
Tony Cárdenas,CA,29.0
Brad Sherman,CA,30.0
Pete Aguilar,CA,31.0
Grace Napolitano,CA,32.0
Ted Lieu,CA,33.0
Jimmy Gomez,CA,34.0
Norma Torres,CA,35.0
Raul Ruiz,CA,36.0
Karen Bass,CA,37.0
Linda Sánchez,CA,38.0
Gil Cisneros,CA,39.0
Lucille Roybal-Allard,CA,40.0
Mark Takano,CA,41.0
Ken Calvert,CA,42.0
Maxine Waters,CA,43.0
Nanette Barragán,CA,44.0
Katie Porter,CA,45.0
Lou Correa,CA,46.0
Alan Lowenthal,CA,47.0
Harley Rouda,CA,48.0
Mike Levin,CA,49.0
Duncan D. Hunter,CA,50.0
Juan Vargas,CA,51.0
Scott Peters,CA,52.0
Susan Davis,CA,53.0
Diana DeGette,CO,1.0
Joe Neguse,CO,2.0
Scott Tipton,CO,3.0
Ken Buck,CO,4.0
Doug Lamborn,CO,5.0
Jason Crow,CO,6.0
Ed Perlmutter,CO,7.0
John B. Larson,CT,1.0
Joe Courtney,CT,2.0
Rosa DeLauro,CT,3.0
Jim Himes,CT,4.0
Jahana Hayes,CT,5.0
Eleanor Holmes Norton,DC,0.0
Lisa Blunt Rochester,DE,0.0
Matt Gaetz,FL,1.0
Neal Dunn,FL,2.0
Ted Yoho,FL,3.0
John Rutherford,FL,4.0
Al Lawson,FL,5.0
Michael Waltz,FL,6.0
Stephanie Murphy,FL,7.0
Bill Posey,FL,8.0
Darren Soto,FL,9.0
Val Demings,FL,10.0
Daniel Webster,FL,11.0
Gus Bilirakis,FL,12.0
Charlie Crist,FL,13.0
Kathy Castor,FL,14.0
Ross Spano,FL,15.0
Vern Buchanan,FL,16.0
Greg Steube,FL,17.0
Brian Mast,FL,18.0
Francis Rooney,FL,19.0
Alcee Hastings,FL,20.0
Lois Frankel,FL,21.0
Ted Deutch,FL,22.0
Debbie Wasserman Schultz,FL,23.0
Frederica Wilson,FL,24.0
Mario Díaz-Balart,FL,25.0
Debbie Mucarsel-Powell,FL,26.0
Donna Shalala,FL,27.0
Buddy Carter,GA,1.0
Sanford Bishop,GA,2.0
Drew Ferguson,GA,3.0
Hank Johnson,GA,4.0
John Lewis,GA,5.0
Lucy McBath,GA,7.0
Rob Woodall,GA,7.0
Austin Scott,GA,8.0
Doug Collins,GA,9.0
Jody Hice,GA,10.0
Barry Loudermilk,GA,11.0
Rick W. Allen,GA,12.0
David Scott,GA,13.0
Tom Graves,GA,14.0
Michael San Nicolas,GU,0.0
Ed Case,HI,1.0
Tulsi Gabbard,HI,2.0
Abby Finkenauer,IA,1.0
Dave Loebsack,IA,2.0
Cindy Axne,IA,3.0
Steve King,IA,4.0
Russ Fulcher,ID,1.0
Mike Simpson,ID,2.0
Bobby Rush,IL,1.0
Robin Kelly,IL,2.0
Dan Lipinski,IL,3.0
Jesús Chuy García,IL,4.0
Mike Quigley,IL,5.0
Sean Casten,IL,6.0
Danny K. Davis,IL,7.0
Raja Krishnamoorthi,IL,8.0
Jan Schakowsky,IL,9.0
Brad Schneider,IL,10.0
Bill Foster,IL,11.0
Mike Bost,IL,12.0
Rodney Davis,IL,13.0
Lauren Underwood,IL,14.0
John Shimkus,IL,15.0
Adam Kinzinger,IL,16.0
Cheri Bustos,IL,17.0
Darin LaHood,IL,18.0
Pete Visclosky,IN,1.0
Jackie Walorski,IN,2.0
Jim Banks,IN,3.0
Jim Baird,IN,4.0
Susan Brooks,IN,5.0
Greg Pence,IN,6.0
André Carson,IN,7.0
Larry Bucshon,IN,8.0
Trey Hollingsworth,IN,9.0
Roger Marshall,KS,1.0
Steve Watkins,KS,2.0
Sharice Davids,KS,3.0
Ron Estes,KS,4.0
James Comer,KY,1.0
Brett Guthrie,KY,2.0
John Yarmuth,KY,3.0
Thomas Massie,KY,4.0
Hal Rogers,KY,5.0
Andy Barr,KY,6.0
Steve Scalise,LA,1.0
Cedric Richmond,LA,2.0
Clay Higgins,LA,3.0
Mike Johnson,LA,4.0
Ralph Abraham,LA,5.0
Garret Graves,LA,6.0
Richard Neal,MA,1.0
Jim McGovern,MA,2.0
Lori Trahan,MA,3.0
Joe Kennedy III,MA,4.0
Katherine Clark,MA,5.0
Seth Moulton,MA,6.0
Ayanna Pressley,MA,7.0
Stephen F. Lynch,MA,8.0
Bill Keating,MA,9.0
Andy Harris,MD,1.0
Dutch Ruppersberger,MD,2.0
John Sarbanes,MD,3.0
Anthony G. Brown,MD,4.0
Steny Hoyer,MD,5.0
David Trone,MD,6.0
Jamie Raskin,MD,8.0
Chellie Pingree,ME,1.0
Jared Golden,ME,6.0
Jack Bergman,MI,1.0
Bill Huizenga,MI,2.0
Justin Amash,MI,3.0
John Moolenaar,MI,4.0
Dan Kildee,MI,5.0
Fred Upton,MI,6.0
Tim Walberg,MI,7.0
Elissa Slotkin,MI,8.0
Andy Levin,MI,9.0
Paul Mitchell,MI,10.0
Haley Stevens,MI,11.0
Debbie Dingell,MI,12.0
Rashida Tlaib,MI,13.0
Brenda Lawrence,MI,14.0
Jim Hagedorn,MN,1.0
Angie Craig,MN,2.0
Dean Phillips,MN,3.0
Betty McCollum,MN,4.0
Ilhan Omar,MN,5.0
Tom Emmer,MN,6.0
Collin Peterson,MN,7.0
Pete Stauber,MN,8.0
Lacy Clay,MO,1.0
Ann Wagner,MO,2.0
Blaine Luetkemeyer,MO,3.0
Vicky Hartzler,MO,4.0
Emanuel Cleaver,MO,5.0
Sam Graves,MO,6.0
Billy Long,MO,7.0
Jason Smith,MO,8.0
Gregorio Sablan,MP,0.0
Trent Kelly,MS,1.0
Bennie Thompson,MS,2.0
Michael Guest,MS,3.0
Steven Palazzo,MS,4.0
Greg Gianforte,MT,0.0
G. K. Butterfield,NC,1.0
George Holding,NC,2.0
Greg Murphy,NC,3.0
David Price,NC,4.0
Virginia Foxx,NC,5.0
Mark Walker,NC,6.0
David Rouzer,NC,7.0
Richard Hudson,NC,8.0
Dan Bishop,NC,9.0
Patrick McHenry,NC,10.0
Mark Meadows,NC,11.0
Alma Adams,NC,12.0
Ted Budd,NC,13.0
Kelly Armstrong,ND,0.0
Jeff Fortenberry,NE,1.0
Don Bacon,NE,2.0
Adrian Smith,NE,3.0
Chris Pappas,NH,1.0
Ann McLane Kuster,NH,2.0
Donald Norcross,NJ,1.0
Jeff Van Drew,NJ,2.0
Andy Kim,NJ,3.0
Chris Smith,NJ,4.0
Josh Gottheimer,NJ,5.0
Frank Pallone,NJ,6.0
Tom Malinowski,NJ,7.0
Albio Sires,NJ,8.0
Bill Pascrell,NJ,9.0
Donald Payne Jr.,NJ,10.0
Mikie Sherrill,NJ,11.0
Bonnie Watson Coleman,NJ,12.0
Deb Haaland,NM,1.0
Xochitl Torres Small,NM,2.0
Ben Ray Luján,NM,3.0
Dina Titus,NV,1.0
Mark Amodei,NV,2.0
Susie Lee,NV,3.0
Steven Horsford,NV,4.0
Lee Zeldin,NY,1.0
Peter T. King,NY,2.0
Thomas Suozzi,NY,3.0
Kathleen Rice,NY,4.0
Gregory Meeks,NY,5.0
Grace Meng,NY,6.0
Nydia Velázquez,NY,7.0
Hakeem Jeffries,NY,8.0
Yvette Clarke,NY,9.0
Jerrold Nadler,NY,10.0
Max Rose,NY,11.0
Carolyn Maloney,NY,12.0
Adriano Espaillat,NY,13.0
Alexandria Ocasio-Cortez,NY,14.0
José E. Serrano,NY,15.0
Eliot Engel,NY,16.0
Nita Lowey,NY,17.0
Sean Patrick Maloney,NY,18.0
Antonio Delgado,NY,19.0
Paul Tonko,NY,20.0
