domain,cmpt_rank,is_home_district,category,counts
13wmaz.com,6.0,True,news,3
13wmaz.com,7.0,False,news,179
13wmaz.com,7.0,True,news,2
13wmaz.com,8.0,False,news,267
13wmaz.com,8.0,True,news,2
13wmaz.com,9.0,False,news,542
13wmaz.com,9.0,True,news,3
13wmaz.com,10.0,False,news,573
13wmaz.com,10.0,True,news,2
13wmaz.com,11.0,False,news,142
13wmaz.com,11.0,True,news,1
13wmaz.com,12.0,False,news,2
1430wcmy.com,6.0,False,news,5
1440wrok.com,3.0,False,news,54
1440wrok.com,4.0,False,news,755
1440wrok.com,4.0,True,news,2
1440wrok.com,5.0,False,news,430
1440wrok.com,5.0,True,news,1
14news.com,2.0,False,news,10
14news.com,3.0,False,news,124
14news.com,4.0,False,news,417
14news.com,4.0,True,news,2
14news.com,5.0,False,news,1410
14news.com,5.0,True,news,3
14news.com,6.0,False,news,679
14news.com,6.0,True,news,1
14news.com,7.0,False,news,1603
14news.com,7.0,True,news,4
14news.com,8.0,False,news,497
14news.com,8.0,True,news,1
14news.com,9.0,False,news,14
21centurystate.com,7.0,False,other_third_party,3
247sports.com,1.0,False,news,1
247sports.com,3.0,False,news,62
247sports.com,4.0,False,news,110
247sports.com,4.0,True,news,1
247sports.com,5.0,False,news,73
247sports.com,6.0,False,news,1
247sports.com,8.0,False,news,74
247sports.com,9.0,False,news,276
247sports.com,10.0,False,news,17
247sports.com,11.0,False,news,109
27east.com,4.0,False,news,8
27east.com,5.0,False,news,28
27east.com,6.0,False,news,1263
27east.com,6.0,True,news,3
27east.com,7.0,False,news,5
3newsnow.com,1.0,False,news,512
3newsnow.com,1.0,True,news,1
3newsnow.com,2.0,False,news,472
3newsnow.com,3.0,False,news,1803
3newsnow.com,3.0,True,news,2
3newsnow.com,4.0,False,news,4430
3newsnow.com,4.0,True,news,10
3newsnow.com,5.0,False,news,6888
3newsnow.com,5.0,True,news,11
3newsnow.com,6.0,False,news,10592
3newsnow.com,6.0,True,news,22
3newsnow.com,7.0,False,news,4151
3newsnow.com,7.0,True,news,14
3newsnow.com,8.0,False,news,1550
3newsnow.com,8.0,True,news,8
3newsnow.com,9.0,False,news,1089
3newsnow.com,9.0,True,news,2
3newsnow.com,10.0,False,news,371
3newsnow.com,11.0,False,news,161
3newsnow.com,12.0,False,news,45
3newsnow.com,12.0,True,news,2
401kspecialistmag.com,1.0,False,news,61
401kspecialistmag.com,2.0,False,news,2260
401kspecialistmag.com,2.0,True,news,3
401kspecialistmag.com,3.0,False,news,4193
401kspecialistmag.com,3.0,True,news,12
401kspecialistmag.com,4.0,False,news,3391
401kspecialistmag.com,4.0,True,news,8
401kspecialistmag.com,5.0,False,news,486
401kspecialistmag.com,5.0,True,news,1
401kspecialistmag.com,6.0,False,news,33
401kspecialistmag.com,7.0,False,news,2
401kspecialistmag.com,8.0,False,news,2
4029tv.com,1.0,False,news,1
4029tv.com,2.0,False,news,9
4029tv.com,3.0,False,news,670
4029tv.com,3.0,True,news,3
4029tv.com,4.0,False,news,1312
4029tv.com,4.0,True,news,4
4029tv.com,5.0,False,news,3007
4029tv.com,5.0,True,news,7
4029tv.com,6.0,False,news,4791
4029tv.com,6.0,True,news,12
4029tv.com,7.0,False,news,2021
4029tv.com,7.0,True,news,2
4029tv.com,8.0,False,news,1640
4029tv.com,8.0,True,news,3
4029tv.com,9.0,False,news,807
4029tv.com,9.0,True,news,2
4029tv.com,10.0,False,news,81
4029tv.com,11.0,False,news,1
406mtsports.com,3.0,False,news,7
406mtsports.com,4.0,False,news,102
406mtsports.com,5.0,False,news,217
406mtsports.com,5.0,True,news,1
406mtsports.com,6.0,False,news,1
41nbc.com,1.0,False,news,47
41nbc.com,2.0,False,news,2
41nbc.com,3.0,False,news,14
41nbc.com,4.0,False,news,432
41nbc.com,4.0,True,news,1
41nbc.com,5.0,False,news,2347
41nbc.com,5.0,True,news,3
41nbc.com,6.0,False,news,2609
41nbc.com,6.0,True,news,7
41nbc.com,7.0,False,news,485
41nbc.com,7.0,True,news,3
41nbc.com,8.0,False,news,221
5280.com,3.0,False,news,9
5280.com,3.0,True,news,1
5280.com,4.0,False,news,225
5280.com,4.0,True,news,1
5280.com,5.0,False,news,540
5280.com,5.0,True,news,3
5280.com,6.0,False,news,88
5280.com,6.0,True,news,1
5280.com,7.0,False,news,10
5280.com,8.0,False,news,227
5280.com,9.0,False,news,312
5280.com,10.0,False,news,126
5280.com,10.0,True,news,9
5280.com,11.0,False,news,2242
5280.com,11.0,True,news,5
5280.com,12.0,False,news,4
560theanswer.com,4.0,False,news,11
560theanswer.com,5.0,False,news,11
560theanswer.com,6.0,False,news,82
560theanswer.com,7.0,False,news,103
560theanswer.com,8.0,False,news,22
560theanswer.com,9.0,False,news,119
560theanswer.com,10.0,False,news,15
560theanswer.com,11.0,False,news,5
5newsonline.com,1.0,False,news,31
5newsonline.com,1.0,True,news,1
5newsonline.com,2.0,False,news,23
5newsonline.com,3.0,False,news,270
5newsonline.com,3.0,True,news,1
5newsonline.com,4.0,False,news,7301
5newsonline.com,4.0,True,news,13
5newsonline.com,5.0,False,news,7564
5newsonline.com,5.0,True,news,7
5newsonline.com,6.0,False,news,4534
5newsonline.com,6.0,True,news,7
5newsonline.com,7.0,False,news,5951
5newsonline.com,7.0,True,news,18
5newsonline.com,8.0,False,news,3129
5newsonline.com,8.0,True,news,18
5newsonline.com,9.0,False,news,562
5newsonline.com,9.0,True,news,2
5newsonline.com,10.0,False,news,65
5newsonline.com,10.0,True,news,1
5newsonline.com,11.0,False,news,152
5newsonline.com,12.0,False,news,30
5newsonline.com,13.0,False,news,3
6abc.com,0.0,False,news,2
6abc.com,1.0,False,news,24
6abc.com,2.0,False,news,27
6abc.com,3.0,False,news,1185
6abc.com,3.0,True,news,3
6abc.com,4.0,False,news,1253
6abc.com,4.0,True,news,2
6abc.com,5.0,False,news,6058
6abc.com,5.0,True,news,7
6abc.com,6.0,False,news,6120
6abc.com,6.0,True,news,8
6abc.com,7.0,False,news,3074
6abc.com,7.0,True,news,3
6abc.com,8.0,False,news,1214
6abc.com,8.0,True,news,2
6abc.com,9.0,False,news,330
6abc.com,9.0,True,news,1
6abc.com,10.0,False,news,138
6abc.com,11.0,False,news,7
6amcity.com,1.0,False,news,83
6amcity.com,6.0,False,news,7167
6amcity.com,6.0,True,news,17
6amcity.com,7.0,False,news,37
710keel.com,1.0,False,news,272
710keel.com,1.0,True,news,1
710keel.com,2.0,False,news,376
710keel.com,3.0,False,news,559
710keel.com,3.0,True,news,1
710keel.com,4.0,False,news,368
710keel.com,5.0,False,news,380
