domain,dem_prop,rep_prop
1011now.com,3.991584567130494e-05,0.0007389984948022098
10news.com,7.004520247438564e-05,0.0
10tv.com,0.00016665901958421518,0.0001859031460237583
11alive.com,0.00038203580258884166,0.0004341058001000141
12news.com,0.0001176821585008781,8.853283830605024e-05
12newsnow.com,8.942570766123214e-06,0.00015015325660375716
13abc.com,3.2002262766515445e-05,6.468097349395474e-05
13newsnow.com,0.0005438237861100526,0.00013493420401694428
13wham.com,0.00027352570135553533,5.7573787567105694e-05
13wmaz.com,3.9471678249146505e-05,2.583331848018299e-05
1430wcmy.com,0.0,4.651299690346235e-08
1440wrok.com,0.0,1.1553828430820048e-05
14news.com,3.527429610974927e-05,0.0
21centurystate.com,2.220837110792189e-08,0.0
247sports.com,0.0,6.735081951621348e-06
27east.com,0.0,1.2158497390565058e-05
3newsnow.com,1.851437871363755e-05,0.00027568253264682136
401kspecialistmag.com,3.588872771040178e-05,5.21317669294006e-05
4029tv.com,3.1802387426544146e-05,9.374229395923801e-05
406mtsports.com,0.0,3.05125259686713e-06
41nbc.com,4.562339704604087e-05,7.442079504553976e-08
5280.com,2.815281177447565e-05,0.0
560theanswer.com,0.0,3.423356572094829e-06
5newsonline.com,0.0,0.0002761290574170946
6abc.com,0.00014377699455268633,3.3489357770492894e-07
6amcity.com,0.0,6.79461858765778e-05
710keel.com,0.0,2.6679855023826002e-05
83degreesmedia.com,6.661030774302705e-05,0.0
8newsnow.com,0.0001016625201416971,9.501675007439288e-05
945theanswer.com,0.0,1.3172480723060538e-05
953mnc.com,5.981454618400296e-06,0.00041319355669221746
959watd.com,4.195901581323376e-05,0.0
960thepatriot.com,0.0,1.8326120779964166e-06
9and10news.com,2.7123823913141937e-05,0.00017514934113967783
9news.com,8.579093758990226e-05,7.964885589748893e-05
aa.com.tr,5.937037876184452e-06,0.0
aaf.org,0.0,2.697753820400816e-07
abajournal.com,3.2905403191570934e-05,0.0
abbyfinkenauer.com,0.00035014458167786585,0.0
abc10.com,0.0005579631157154296,1.6223733319927667e-05
abc10up.com,0.0,3.934069278094845e-05
abc11.com,2.7975144805612273e-05,9.955641857217081e-05
abc12.com,8.404387906274574e-05,0.00013191085921821923
abc13.com,0.0002476381434340677,7.669062929442873e-05
abc15.com,0.00015818282461135832,5.202943833621298e-05
abc17news.com,0.0007953928112302226,0.0004604972745430386
abc23.com,0.0,4.866189736040231e-05
abc27.com,0.0002477343797088687,0.0002587052887770576
abc30.com,0.00031587706505834234,0.00029498542636175823
abc3340.com,3.871659363147716e-05,0.0002821757470145447
abc4.com,9.819061145849199e-05,2.3516971234390563e-05
abc57.com,0.0,0.00015406965094302868
abc6.com,0.00013510832703022746,0.0
abc6onyourside.com,0.00024322608037396053,0.0003496940133196106
abc7.com,0.00023943585170487522,0.0
abc7amarillo.com,0.0,1.1591038828342818e-05
abc7chicago.com,0.0004628076483083536,4.767582182604891e-05
abc7news.com,0.0005538619698508333,4.055933329981917e-06
abc7ny.com,0.00017646031403317804,0.0002190110972196428
abcactionnews.com,8.814502492734199e-05,0.00034361941592401846
abccolumbia.com,1.2466298981913489e-05,0.00012858052863993133
abcnews4.com,0.00028505184596054676,6.865318342951043e-05
abcnewsradioonline.com,0.00012504053212796955,0.0
abcstlouis.com,0.0,4.651299690346235e-08
aberdeennews.com,0.0,5.600164827176867e-06
abigailspanberger.com,0.000346221102782133,0.0
abovethelaw.com,0.0,8.279313448816298e-07
abqjournal.com,0.0003268628059663944,8.111866659963833e-06
academyhealth.org,0.0,8.714675099832705e-05
acadialending.com,0.0,2.0465718637523434e-07
acainternational.org,0.0,0.0002444723117245981
acceptthisrose.com,0.0,3.7861579479418353e-06
accountingtoday.com,6.752825374882116e-05,0.0
acrofan.com,0.0,1.860519876138494e-08
actiac.org,3.240201344645804e-05,0.0
actionnewsjax.com,0.00028319374557785065,0.00018195884388634472
actionnewsnow.com,3.405283569881357e-07,0.00016239547738874845
adamschiff.com,0.0003948648382988512,0.0
adamsmith.org,0.0005537657335760323,0.0
adamsmithworks.org,2.346684547070413e-06,0.0
aderholtforcongress.org,0.0,0.0004085422570018712
adirondackdailyenterprise.com,0.0,0.00010689616948353718
adirondackexplorer.org,2.3836984989169496e-05,0.0
adn.com,3.78430643678989e-05,0.00040201183223662507
adparchitects.com,5.181953258515108e-08,0.0
adrianoespaillat.com,0.0003518694318339144,0.0
advantagenews.com,0.0,0.00010853342697453904
advertisernewssouth.com,1.4990650497847276e-05,0.0
advocate.com,7.439804321153833e-06,3.6931319541349107e-06
advocateanddemocrat.com,0.0,4.527575118583025e-05
af.mil,2.6650045329506267e-07,0.0
aflcio.org,5.181953258515108e-08,1.7954016804736466e-06
afro.com,3.0055328899387624e-06,0.0
agnetwest.com,9.497780043821262e-06,4.5805999350529724e-05
agri-pulse.com,0.00030461742090662593,0.00024308622441687492
agriculture.com,5.063508612606191e-05,0.0
agrinews-pubs.com,0.0,5.970408282528427e-05
agweek.com,2.5584043516326018e-05,9.30259938069247e-09
aikenstandard.com,0.0,4.9461920907141864e-05
ainonline.com,7.051898105802131e-05,0.0
aip.org,1.2481104562652102e-05,0.0
airforcemag.com,0.0,0.00017216320673847554
airforcetimes.com,4.2869559028658555e-05,1.1200329654353734e-05
airlinegeeks.com,9.20166842904897e-06,0.0
ajc.com,0.0003836940276315665,0.0010118902476348233
ajot.com,0.0,0.00011408707880481246
akronnewsreporter.com,0.0,5.122011219009274e-05
al-monitor.com,8.307411352436649e-05,0.0
al.com,1.935829681573858e-05,0.0005447416145345896
alabamanews.net,1.5642096050346317e-05,3.888486541129452e-06
alaina2020.com,0.0,8.757467056983891e-05
alamogordonews.com,3.2276166010179814e-06,0.0
alanlowenthal.com,8.944051324197076e-05,0.0
alaska-native-news.com,0.0,3.8140657460839125e-07
alaskansfordonyoung.com,0.0,0.0004368965799142218
alaskapublic.org,0.0,8.911890206703386e-05
alaskasnewssource.com,0.0,9.30259938069247e-09
albanyherald.com,0.000190214698539351,5.028985225202349e-05
albertleatribune.com,0.0,2.772174615446356e-05
albiosiresnj.com,0.00012683200739734192,0.0
alceeforcongress.com,0.0003552895209845344,0.0
aldianews.com,0.0002466387667342112,0.0
alec.org,0.0,8.000235467395524e-07
