domain,cmpt_rank,is_home_district,counts
14news.com,6.0,True,1
14news.com,7.0,False,1603
14news.com,7.0,True,4
14news.com,8.0,False,497
14news.com,8.0,True,1
14news.com,9.0,False,14
21centurystate.com,7.0,False,3
247sports.com,1.0,False,1
247sports.com,3.0,False,62
247sports.com,4.0,False,110
247sports.com,4.0,True,1
247sports.com,5.0,False,73
247sports.com,6.0,False,1
247sports.com,8.0,False,74
247sports.com,9.0,False,276
247sports.com,10.0,False,17
247sports.com,11.0,False,109
27east.com,4.0,False,8
27east.com,5.0,False,28
27east.com,6.0,False,1263
27east.com,6.0,True,3
27east.com,7.0,False,5
3newsnow.com,1.0,False,512
3newsnow.com,1.0,True,1
3newsnow.com,2.0,False,472
3newsnow.com,3.0,False,1803
3newsnow.com,3.0,True,2
3newsnow.com,4.0,False,4430
3newsnow.com,4.0,True,10
3newsnow.com,5.0,False,6888
3newsnow.com,5.0,True,11
3newsnow.com,6.0,False,10592
3newsnow.com,6.0,True,22
3newsnow.com,7.0,False,4151
3newsnow.com,7.0,True,14
3newsnow.com,8.0,False,1550
3newsnow.com,8.0,True,8
3newsnow.com,9.0,False,1089
3newsnow.com,9.0,True,2
3newsnow.com,10.0,False,371
3newsnow.com,11.0,False,161
3newsnow.com,12.0,False,45
3newsnow.com,12.0,True,2
401kspecialistmag.com,1.0,False,61
401kspecialistmag.com,2.0,False,2260
401kspecialistmag.com,2.0,True,3
401kspecialistmag.com,3.0,False,4193
401kspecialistmag.com,3.0,True,12
401kspecialistmag.com,4.0,False,3391
401kspecialistmag.com,4.0,True,8
401kspecialistmag.com,5.0,False,486
401kspecialistmag.com,5.0,True,1
401kspecialistmag.com,6.0,False,33
401kspecialistmag.com,7.0,False,2
401kspecialistmag.com,8.0,False,2
4029tv.com,1.0,False,1
4029tv.com,2.0,False,9
4029tv.com,3.0,False,670
4029tv.com,3.0,True,3
4029tv.com,4.0,False,1312
4029tv.com,4.0,True,4
4029tv.com,5.0,False,3007
4029tv.com,5.0,True,7
4029tv.com,6.0,False,4791
4029tv.com,6.0,True,12
4029tv.com,7.0,False,2021
4029tv.com,7.0,True,2
4029tv.com,8.0,False,1640
4029tv.com,8.0,True,3
4029tv.com,9.0,False,807
4029tv.com,9.0,True,2
4029tv.com,10.0,False,81
4029tv.com,11.0,False,1
406mtsports.com,3.0,False,7
406mtsports.com,4.0,False,102
406mtsports.com,5.0,False,217
406mtsports.com,5.0,True,1
406mtsports.com,6.0,False,1
41nbc.com,1.0,False,47
41nbc.com,2.0,False,2
41nbc.com,3.0,False,14
41nbc.com,4.0,False,432
41nbc.com,4.0,True,1
41nbc.com,5.0,False,2347
41nbc.com,5.0,True,3
41nbc.com,6.0,False,2609
41nbc.com,6.0,True,7
41nbc.com,7.0,False,485
41nbc.com,7.0,True,3
41nbc.com,8.0,False,221
5280.com,3.0,False,9
5280.com,3.0,True,1
5280.com,4.0,False,225
5280.com,4.0,True,1
5280.com,5.0,False,540
5280.com,5.0,True,3
5280.com,6.0,False,88
5280.com,6.0,True,1
5280.com,7.0,False,10
5280.com,8.0,False,227
5280.com,9.0,False,312
5280.com,10.0,False,126
5280.com,10.0,True,9
5280.com,11.0,False,2242
5280.com,11.0,True,5
5280.com,12.0,False,4
560theanswer.com,4.0,False,11
560theanswer.com,5.0,False,11
560theanswer.com,6.0,False,82
560theanswer.com,7.0,False,103
560theanswer.com,8.0,False,22
560theanswer.com,9.0,False,119
560theanswer.com,10.0,False,15
560theanswer.com,11.0,False,5
5newsonline.com,1.0,False,31
5newsonline.com,1.0,True,1
5newsonline.com,2.0,False,23
5newsonline.com,3.0,False,270
5newsonline.com,3.0,True,1
5newsonline.com,4.0,False,7301
5newsonline.com,4.0,True,13
5newsonline.com,5.0,False,7564
5newsonline.com,5.0,True,7
5newsonline.com,6.0,False,4534
5newsonline.com,6.0,True,7
5newsonline.com,7.0,False,5951
5newsonline.com,7.0,True,18
5newsonline.com,8.0,False,3129
5newsonline.com,8.0,True,18
5newsonline.com,9.0,False,562
5newsonline.com,9.0,True,2
5newsonline.com,10.0,False,65
5newsonline.com,10.0,True,1
5newsonline.com,11.0,False,152
5newsonline.com,12.0,False,30
5newsonline.com,13.0,False,3
6abc.com,0.0,False,2
6abc.com,1.0,False,24
6abc.com,2.0,False,27
6abc.com,3.0,False,1185
6abc.com,3.0,True,3
6abc.com,4.0,False,1253
6abc.com,4.0,True,2
6abc.com,5.0,False,6058
6abc.com,5.0,True,7
6abc.com,6.0,False,6120
6abc.com,6.0,True,8
6abc.com,7.0,False,3074
6abc.com,7.0,True,3
6abc.com,8.0,False,1214
6abc.com,8.0,True,2
6abc.com,9.0,False,330
6abc.com,9.0,True,1
6abc.com,10.0,False,138
6abc.com,11.0,False,7
6amcity.com,1.0,False,83
6amcity.com,6.0,False,7167
6amcity.com,6.0,True,17
6amcity.com,7.0,False,37
710keel.com,1.0,False,272
710keel.com,1.0,True,1
710keel.com,2.0,False,376
710keel.com,3.0,False,559
710keel.com,3.0,True,1
710keel.com,4.0,False,368
710keel.com,5.0,False,380
710keel.com,5.0,True,1
710keel.com,6.0,False,197
710keel.com,7.0,False,144
710keel.com,7.0,True,1
710keel.com,8.0,False,136
710keel.com,9.0,False,204
710keel.com,10.0,False,58
710keel.com,11.0,False,144
710keel.com,11.0,True,1
710keel.com,12.0,False,25
83degreesmedia.com,2.0,False,11
83degreesmedia.com,3.0,False,6
83degreesmedia.com,4.0,False,47
83degreesmedia.com,5.0,False,117
83degreesmedia.com,6.0,False,3154
83degreesmedia.com,6.0,True,5
83degreesmedia.com,7.0,False,4138
83degreesmedia.com,7.0,True,6
83degreesmedia.com,8.0,False,1304
83degreesmedia.com,8.0,True,3
83degreesmedia.com,9.0,False,185
83degreesmedia.com,10.0,False,22
8newsnow.com,0.0,False,832
8newsnow.com,0.0,True,1
8newsnow.com,1.0,False,149
8newsnow.com,2.0,False,1122
8newsnow.com,2.0,True,4
8newsnow.com,3.0,False,1439
8newsnow.com,3.0,True,1
8newsnow.com,4.0,False,4990
8newsnow.com,4.0,True,10
8newsnow.com,5.0,False,3808
8newsnow.com,5.0,True,11
