domain,dem_prop,rep_prop,bias_score
alaska-native-news.com,0.0,3.1317013635244417e-07,
alaskansfordonyoung.com,0.0,0.0003587325720437,
alaskapublic.org,0.0,7.639059838197059e-05,-0.5353
alaskasnewssource.com,0.0,7.6382960085962e-09,
albanyherald.com,0.0001530108689167,5.151266828197277e-05,-0.2253
albertleatribune.com,0.0,2.2762122105616677e-05,
albiosiresnj.com,0.000102025110611,0.0,
alceeforcongress.com,0.0002857989353099,0.0,
aldianews.com,0.0001983990317064,0.0,-0.6573
alec.org,0.0,6.568934567392732e-07,0.5078
aledotimesrecord.com,0.0,1.3321188238991772e-05,
alestlelive.com,0.0,0.0001115114834294,
alexandriagazette.com,6.470582220856382e-05,0.0,
alexandrialivingmagazine.com,2.810707535656371e-05,0.0,
alexcityoutlook.com,0.0,1.374893281547316e-07,
algemeiner.com,9.051431047028992e-07,0.0,0.4911
alhambrasource.org,1.9680907638441325e-05,0.0,
alicetx.com,0.0,1.581891103380273e-05,
aljazeera.com,0.0001191454160453,6.691147303530271e-06,-0.5265
allawson.com,0.000280356166904,0.0,
allhiphop.com,1.19097776934592e-08,0.0,-0.304
allmusic.com,0.0002862693715288,0.0,-0.4004
allongeorgia.com,0.0,3.414318315842501e-05,
allotsego.com,1.1850228804991905e-06,0.0,
allstate.com,0.0,7.485530088424275e-07,0.4768
almaadamsforcongress.com,0.000380827051526,0.0,
almanacnews.com,5.19266307434821e-06,0.0,
alreporter.com,0.0003080523549301,0.002243650154677,
altamontenterprise.com,2.2324878286389263e-05,0.0,
altavistajournal.com,0.0,1.241986930997742e-05,
alternet.org,2.6082413148675646e-06,3.112605623502951e-05,-0.6378
altoday.com,4.412572635426633e-06,6.997442973474978e-05,
altoonamirror.com,0.0,4.82434775902936e-05,0.2917
alxnow.com,8.378528607348545e-06,0.0,
am920theanswer.com,0.0,8.936806330057553e-07,
am970theanswer.com,0.0,2.459531314767976e-06,
amarillo.com,0.0,1.248097567804619e-05,0.4287
amazinavenue.com,8.396393273888734e-06,0.0,-0.0476
amazon.com,1.6078199886169917e-07,1.68806341789976e-05,0.058
amchp.org,8.932333270094398e-08,0.0,
american.edu,5.4159714061005706e-05,0.0,-0.4506
americanbanker.com,6.408651376850395e-05,0.000170693000904,0.1483
americanbazaaronline.com,0.0001189369949357,0.0,
americandope.com,0.0,7.6382960085962e-09,
americanindependent.com,5.156933741267833e-06,4.149886221470315e-05,
americanprogress.org,5.9548888467295995e-09,0.0,-0.7806
americansall.org,5.9548888467295995e-09,0.0,
americansecuritynews.com,9.317019089593132e-05,0.0,
americansecurityproject.org,5.632133871236855e-05,0.0,
americustimesrecorder.com,0.0001131071587547,0.0,
ameripriseadvisors.com,0.0,2.215105842492898e-07,
amestrib.com,7.264964393010111e-06,9.471487050659287e-06,0.2889
amgreatness.com,1.012331103944032e-07,0.0,0.8711
ammoland.com,3.57293330803776e-08,0.0,0.7631
amnews.com,0.0,6.87446640773658e-08,
amny.com,6.927322195400543e-05,0.0,-0.4638
amodeifornevada.com,0.0,0.0001867716140021,
amsterdamnews.com,5.246257073968777e-06,0.0,-0.8401
anchoragepress.com,0.0,7.6382960085962e-09,
andnowuknow.com,1.0391281037543153e-05,0.0,
andrecarson.com,0.0002855250104229,0.0,
andthevalleyshook.com,0.0,4.58297760515772e-08,0.628
andybarrforcongress.com,0.0,0.0003540273817024,
andybiggs.com,0.0,9.015480778946094e-05,
andyharris.com,0.0,0.0003658285490357,
andykimforcongress.com,0.000331484842542,0.0,
andykimmusic.com,0.0002363614481043,0.0,
andylevin.com,5.883430180568844e-06,0.0,
andylevinforcongress.com,0.0002983399312211,0.0,
