domain,serp_rank,is_home_district,category,counts
12newsnow.com,7.0,False,news,65
12newsnow.com,8.0,False,news,554
12newsnow.com,8.0,True,news,1
12newsnow.com,9.0,False,news,1935
12newsnow.com,9.0,True,news,3
12newsnow.com,10.0,False,news,1627
12newsnow.com,10.0,True,news,4
12newsnow.com,11.0,False,news,3287
12newsnow.com,11.0,True,news,5
12newsnow.com,12.0,False,news,4867
12newsnow.com,12.0,True,news,8
12newsnow.com,13.0,False,news,159
12newsnow.com,13.0,True,news,1
12newsnow.com,14.0,False,news,594
12newsnow.com,14.0,True,news,2
12newsnow.com,15.0,False,news,741
12newsnow.com,15.0,True,news,7
12newsnow.com,16.0,False,news,1258
12newsnow.com,16.0,True,news,1
12newsnow.com,17.0,False,news,195
12newsnow.com,17.0,True,news,1
12newsnow.com,18.0,False,news,44
12newsnow.com,18.0,True,news,1
12newsnow.com,19.0,False,news,52
12newsnow.com,19.0,True,news,1
12newsnow.com,20.0,False,news,6
13abc.com,6.0,False,news,18
13abc.com,7.0,False,news,3088
13abc.com,7.0,True,news,6
13abc.com,8.0,False,news,1939
13abc.com,8.0,True,news,2
13abc.com,9.0,False,news,2566
13abc.com,9.0,True,news,7
13abc.com,10.0,False,news,1339
13abc.com,10.0,True,news,5
13abc.com,11.0,False,news,500
13abc.com,11.0,True,news,1
13abc.com,12.0,False,news,682
13abc.com,12.0,True,news,2
13abc.com,13.0,False,news,233
13abc.com,14.0,False,news,613
13abc.com,14.0,True,news,1
13abc.com,15.0,False,news,48
13abc.com,16.0,False,news,121
13abc.com,17.0,False,news,96
13abc.com,18.0,False,news,2
13abc.com,19.0,False,news,6
13abc.com,23.0,False,news,1
13newsnow.com,3.0,False,news,67
13newsnow.com,4.0,False,news,6727
13newsnow.com,4.0,True,news,9
13newsnow.com,5.0,False,news,10255
13newsnow.com,5.0,True,news,26
13newsnow.com,6.0,False,news,12212
13newsnow.com,6.0,True,news,29
13newsnow.com,7.0,False,news,4400
13newsnow.com,7.0,True,news,13
13newsnow.com,8.0,False,news,10128
13newsnow.com,8.0,True,news,16
13newsnow.com,9.0,False,news,13888
13newsnow.com,9.0,True,news,31
13newsnow.com,10.0,False,news,9261
13newsnow.com,10.0,True,news,21
13newsnow.com,11.0,False,news,7766
13newsnow.com,11.0,True,news,22
13newsnow.com,12.0,False,news,8458
13newsnow.com,12.0,True,news,18
13newsnow.com,13.0,False,news,3673
13newsnow.com,13.0,True,news,10
13newsnow.com,14.0,False,news,2390
13newsnow.com,14.0,True,news,6
13newsnow.com,15.0,False,news,1895
13newsnow.com,15.0,True,news,7
13newsnow.com,16.0,False,news,227
13newsnow.com,17.0,False,news,672
13newsnow.com,17.0,True,news,2
13newsnow.com,18.0,False,news,323
13newsnow.com,18.0,True,news,1
13newsnow.com,19.0,False,news,1044
13newsnow.com,19.0,True,news,1
13newsnow.com,20.0,False,news,398
13newsnow.com,20.0,True,news,1
13newsnow.com,21.0,False,news,46
13newsnow.com,21.0,True,news,1
13newsnow.com,22.0,False,news,19
13newsnow.com,23.0,False,news,8
13wham.com,3.0,False,news,392
13wham.com,3.0,True,news,1
13wham.com,4.0,False,news,276
13wham.com,4.0,True,news,1
13wham.com,5.0,False,news,679
13wham.com,5.0,True,news,1
13wham.com,6.0,False,news,3523
13wham.com,6.0,True,news,6
13wham.com,7.0,False,news,2966
13wham.com,7.0,True,news,8
13wham.com,8.0,False,news,4542
13wham.com,8.0,True,news,8
13wham.com,9.0,False,news,3037
13wham.com,9.0,True,news,4
13wham.com,10.0,False,news,10564
13wham.com,10.0,True,news,23
13wham.com,11.0,False,news,12169
13wham.com,11.0,True,news,28
13wham.com,12.0,False,news,10325
13wham.com,12.0,True,news,22
13wham.com,13.0,False,news,2622
13wham.com,13.0,True,news,7
13wham.com,14.0,False,news,1172
13wham.com,14.0,True,news,4
13wham.com,15.0,False,news,2448
13wham.com,15.0,True,news,6
13wham.com,16.0,False,news,700
13wham.com,16.0,True,news,1
13wham.com,17.0,False,news,126
13wham.com,18.0,False,news,161
13wham.com,19.0,False,news,9
13wham.com,20.0,False,news,70
13wham.com,21.0,False,news,428
13wham.com,22.0,False,news,171
13wham.com,23.0,False,news,3
13wham.com,24.0,False,news,168
13wham.com,24.0,True,news,2
13wham.com,25.0,False,news,6
13wham.com,27.0,False,news,2
13wmaz.com,2.0,False,news,12
13wmaz.com,3.0,False,news,573
13wmaz.com,3.0,True,news,1
13wmaz.com,4.0,False,news,3
13wmaz.com,6.0,False,news,62
13wmaz.com,6.0,True,news,1
13wmaz.com,7.0,False,news,7
13wmaz.com,8.0,False,news,194
13wmaz.com,9.0,False,news,3703
13wmaz.com,9.0,True,news,4
13wmaz.com,10.0,False,news,1479
13wmaz.com,10.0,True,news,4
13wmaz.com,11.0,False,news,955
13wmaz.com,11.0,True,news,2
13wmaz.com,12.0,False,news,225
13wmaz.com,12.0,True,news,3
13wmaz.com,13.0,False,news,503
13wmaz.com,13.0,True,news,1
13wmaz.com,14.0,False,news,139
13wmaz.com,14.0,True,news,4
13wmaz.com,15.0,False,news,119
13wmaz.com,16.0,False,news,108
13wmaz.com,17.0,False,news,1
13wmaz.com,20.0,False,news,1
13wmaz.com,21.0,False,news,5
1430wcmy.com,25.0,False,news,5
1440wrok.com,7.0,False,news,11
1440wrok.com,8.0,False,news,47
1440wrok.com,9.0,False,news,750
1440wrok.com,9.0,True,news,2
1440wrok.com,11.0,False,news,431
1440wrok.com,11.0,True,news,1
14news.com,8.0,False,news,4
14news.com,9.0,False,news,1516
14news.com,9.0,True,news,4
14news.com,10.0,False,news,672
14news.com,10.0,True,news,1
14news.com,11.0,False,news,1603
14news.com,11.0,True,news,4
14news.com,12.0,False,news,82
14news.com,14.0,False,news,16
14news.com,15.0,False,news,419
14news.com,15.0,True,news,1
14news.com,16.0,False,news,14
14news.com,19.0,False,news,407
14news.com,19.0,True,news,1
14news.com,20.0,False,news,3
14news.com,21.0,False,news,3
14news.com,22.0,False,news,14
14news.com,23.0,False,news,1
21centurystate.com,12.0,False,other_third_party,3
247sports.com,3.0,False,news,1
247sports.com,4.0,False,news,61
247sports.com,8.0,False,news,10
247sports.com,12.0,False,news,121
247sports.com,13.0,False,news,396
247sports.com,13.0,True,news,1
247sports.com,14.0,False,news,15
247sports.com,15.0,False,news,1
247sports.com,16.0,False,news,8
247sports.com,17.0,False,news,1
247sports.com,18.0,False,news,109
27east.com,9.0,False,news,19
27east.com,10.0,False,news,783
27east.com,10.0,True,news,2
27east.com,11.0,False,news,89
27east.com,12.0,False,news,306
27east.com,12.0,True,news,1
27east.com,13.0,False,news,105
27east.com,14.0,False,news,2
3newsnow.com,2.0,False,news,451
3newsnow.com,2.0,True,news,1
3newsnow.com,3.0,False,news,413
3newsnow.com,4.0,False,news,1106
3newsnow.com,4.0,True,news,1
3newsnow.com,5.0,False,news,2513
3newsnow.com,5.0,True,news,7
3newsnow.com,6.0,False,news,956
3newsnow.com,6.0,True,news,2
