domain,serp_rank,is_home_district,counts
1011now.com,2.0,False,2
1011now.com,3.0,False,13
1011now.com,4.0,False,1200
1011now.com,5.0,False,6503
1011now.com,5.0,True,18
1011now.com,6.0,False,16851
1011now.com,6.0,True,36
1011now.com,7.0,False,11986
1011now.com,7.0,True,22
1011now.com,8.0,False,20221
1011now.com,8.0,True,57
1011now.com,9.0,False,5556
1011now.com,9.0,True,10
1011now.com,10.0,False,5701
1011now.com,10.0,True,9
1011now.com,11.0,False,5219
1011now.com,11.0,True,14
1011now.com,12.0,False,3106
1011now.com,12.0,True,8
1011now.com,13.0,False,2772
1011now.com,13.0,True,7
1011now.com,14.0,False,1284
1011now.com,14.0,True,4
1011now.com,15.0,False,793
1011now.com,15.0,True,4
1011now.com,16.0,False,927
1011now.com,16.0,True,2
1011now.com,17.0,False,465
1011now.com,17.0,True,1
1011now.com,18.0,False,240
1011now.com,19.0,False,383
1011now.com,19.0,True,1
1011now.com,20.0,False,21
1011now.com,21.0,False,554
1011now.com,22.0,False,257
1011now.com,23.0,False,8
1011now.com,23.0,True,2
1011now.com,24.0,False,44
1011now.com,25.0,False,338
1011now.com,26.0,False,46
1011now.com,27.0,False,41
1011now.com,27.0,True,1
1011now.com,28.0,False,18
1011now.com,29.0,False,96
10news.com,3.0,False,432
10news.com,3.0,True,1
10news.com,4.0,False,5
10news.com,5.0,False,727
10news.com,5.0,True,1
10news.com,6.0,False,536
10news.com,6.0,True,2
10news.com,7.0,False,7
10news.com,8.0,False,426
10news.com,8.0,True,1
10news.com,9.0,False,14
10news.com,10.0,False,2928
10news.com,10.0,True,7
10news.com,11.0,False,3590
10news.com,11.0,True,9
10news.com,12.0,False,526
10news.com,12.0,True,1
10news.com,13.0,False,1154
10news.com,13.0,True,3
10news.com,14.0,False,263
10news.com,15.0,False,105
10news.com,16.0,False,20
10news.com,17.0,False,12
10tv.com,1.0,False,870
10tv.com,1.0,True,2
10tv.com,2.0,False,434
10tv.com,2.0,True,1
10tv.com,3.0,False,1
10tv.com,4.0,False,2
10tv.com,5.0,False,778
10tv.com,5.0,True,1
10tv.com,6.0,False,1724
10tv.com,6.0,True,2
10tv.com,7.0,False,1770
10tv.com,7.0,True,6
10tv.com,8.0,False,1240
10tv.com,8.0,True,4
10tv.com,9.0,False,7907
10tv.com,9.0,True,20
10tv.com,10.0,False,8694
10tv.com,10.0,True,21
10tv.com,11.0,False,2935
10tv.com,11.0,True,6
10tv.com,12.0,False,4940
10tv.com,12.0,True,13
10tv.com,13.0,False,1538
