domain,dem_prop,rep_prop
1011now.com,3.2108760661566e-05,0.0006068549795869595
10news.com,6.413415287927778e-05,0.0
10tv.com,0.00013406241260642348,0.00015264370743578646
11alive.com,0.0003173479364199138,0.00035644108324114167
12news.com,9.466486799646043e-05,7.269366311381003e-05
12newsnow.com,7.193505726849356e-06,0.00012328973587475125
13abc.com,2.5742984484412058e-05,5.3109072147769376e-05
13newsnow.com,0.0004738066859788873,0.00011079348360468788
13wham.com,0.0003006742476490709,4.7273413997201876e-05
13wmaz.com,3.1751467330762224e-05,2.1211548015871646e-05
1430wcmy.com,0.0,3.8191480042980995e-08
1440wrok.com,0.0,9.48676364267648e-06
14news.com,2.837504535466654e-05,0.0
21centurystate.com,1.7864666540188798e-08,0.0
247sports.com,0.0,5.530126310223649e-06
27east.com,0.0,9.983252883235232e-06
3newsnow.com,1.4893177005670727e-05,0.00023878840982073437
401kspecialistmag.com,2.8869301128945097e-05,4.2805010832173104e-05
4029tv.com,2.5582202485550357e-05,7.69711088786239e-05
406mtsports.com,0.0,2.5053610908195534e-06
41nbc.com,3.669997996239452e-05,6.11063680687696e-08
5280.com,2.2646442284112664e-05,0.0
560theanswer.com,0.0,2.8108929311634015e-06
5newsonline.com,0.0,0.000226727540423161
6abc.com,0.00011565585118118228,2.7497865630946316e-07
6amcity.com,0.0,5.579011404678664e-05
710keel.com,0.0,2.19066329526539e-05
83degreesmedia.com,5.358208984287293e-05,0.0
8newsnow.com,9.995280929235632e-05,7.801755543180158e-05
945theanswer.com,0.0,1.0815827148172218e-05
953mnc.com,4.811550188157516e-06,0.0003392701938138174
959watd.com,3.375230998326337e-05,0.0
960thepatriot.com,0.0,1.5047443136934514e-06
9and10news.com,2.9036038016653527e-05,0.00014381383724984924
9news.com,7.385848636598722e-05,6.581155841006485e-05
aa.com.tr,4.7758208550771385e-06,0.0
aaf.org,0.0,2.215105842492898e-07
abajournal.com,2.6469480923713068e-05,0.0
abbyfinkenauer.com,0.0002816602875614633,0.0
abc10.com,0.0004670657518043894,1.3321188238991772e-05
abc10up.com,0.0,3.230235382035333e-05
abc11.com,2.2503524951791154e-05,8.174504388399653e-05
abc12.com,6.760585307692114e-05,0.000149114814679815
abc13.com,0.0002038001158904738,6.297011229486706e-05
abc15.com,0.00014260767810148043,4.290430868028485e-05
abc17news.com,0.0006545673369213643,0.00037811092901752905
abc23.com,0.0,3.995592642096672e-05
abc27.com,0.00020170399501642498,0.00021242101199906032
abc30.com,0.0003191820421847065,0.00024221036643258547
abc3340.com,3.1144068668395804e-05,0.0002316924328287485
abc4.com,7.89856456630214e-05,1.9309612309731192e-05
abc57.com,0.0,0.00012650545849437025
abc6.com,0.00011108845143574067,0.0
abc6onyourside.com,0.00023489059055924904,0.0003862915440427356
abc7.com,0.00019260492485862214,0.0
abc7amarillo.com,0.0,9.517316826710865e-06
abc7chicago.com,0.00037228774091984106,3.914626704405552e-05
abc7news.com,0.0005159494343471927,3.330297059747943e-06
abc7ny.com,0.00014194668543949347,0.00017982840293038032
abcactionnews.com,7.090486149800933e-05,0.0002821433779655264
abccolumbia.com,1.0028032817892644e-05,0.00011554450372203471
abcnews4.com,0.00023487868078155558,5.637062454343995e-05
abcnewsradioonline.com,0.00010058402751010965,0.0
abcstlouis.com,0.0,3.8191480042980995e-08
aberdeennews.com,0.0,4.598254197174912e-06
abigailspanberger.com,0.00027851015136154335,0.0
