url,qry,domain,title,text,counts,path
https://www.instagram.com/lucymcbath/?hl=en,Lucy McBath,instagram.com,Lucy McBath (@lucymcbath) • Instagram photos and videos,,1103,lucymcbath
https://www.instagram.com/lyricsandlipstick/?hl=en,Haley Stevens,instagram.com,Haley Stevens (@lyricsandlipstick) • Instagram photos and ...,,826,lyricsandlipstick
https://www.instagram.com/markamodeinv2/?hl=en,Mark Amodei,instagram.com,Congressman Mark Amodei (@markamodeinv2) • Instagram ...,,10,markamodeinv2
https://www.instagram.com/martharoby/,Martha Roby,instagram.com,Martha Roby (@martharoby) • Instagram photos and videos,,2680,martharoby
https://www.instagram.com/martharoby/?hl=en,Martha Roby,instagram.com,Martha Roby (@martharoby) • Instagram photos and videos,,2,martharoby
https://www.instagram.com/maxrose4ny/?hl=en,Max Rose,instagram.com,Max Rose (@maxrose4ny) • Instagram photos and videos,"Max Rose . Husband to Leigh, father to Miles. Proud Congressman from #NY11. Staten Islander, veteran. Some say the tallest Member of Congress     ...",101,maxrose4ny
https://www.instagram.com/mike_johnson/?hl=en,Mike Johnson,instagram.com,Mike Johnson (@mike_johnson) • Instagram photos and videos,"626.9k Followers, 230 Following, 221 Posts - See Instagram photos and videos from  Mike Johnson  (@mike_johnson)",2,mike_johnson
https://www.instagram.com/misteradriansmith/?hl=en,Adrian Smith,instagram.com,Adrian Smith (@misteradriansmith) • Instagram photos and ...,"72.9k Followers, 6 Following, 72 Posts - See Instagram photos and videos from  Adrian Smith  (@misteradriansmith)",17,misteradriansmith
https://www.instagram.com/p/CJv0btapjEW/?utm_source=ig_embed&utm_campaign=loading,Lisa Blunt Rochester,instagram.com,"GospelGoodies.com on Instagram: “It's the unwavering #faith for me! 🙏 Rep. 
Lisa Blunt Rochester was spotted #praying as rioters stormed the US 
#Capitol yesterday.…”",,107,p
https://www.instagram.com/rashidatlaib/?hl=en,Rashida Tlaib,instagram.com,Rashida Tlaib (@rashidatlaib) • Instagram photos and videos,"474.2k Followers, 1212 Following, 2395 Posts - See Instagram photos and videos from  Rashida Tlaib  (@ rashidatlaib )",7,rashidatlaib
https://www.instagram.com/realjahanahayes/?hl=en,Jahana Hayes,instagram.com,Jahana Hayes (@realjahanahayes) • Instagram photos and ...,,4,realjahanahayes
https://www.instagram.com/rep.peteaguilar/?hl=en,Pete Aguilar,instagram.com,Rep. Pete Aguilar (@rep.peteaguilar) • Instagram photos and ...,,1,rep.peteaguilar
https://www.instagram.com/rep_velazquez/?hl=en,Nydia Velázquez,instagram.com,Rep. Nydia M. Velázquez (@rep_velazquez) • Instagram ...,,14,rep_velazquez
https://www.instagram.com/repandrecarson/?hl=en,André Carson,instagram.com,Rep. André Carson (@repandrecarson) • Instagram photos ...,,287,repandrecarson
https://www.instagram.com/repandybarr/?hl=en,Andy Barr,instagram.com,Rep. Andy Barr (@repandybarr) • Instagram photos and videos,,25,repandybarr
https://www.instagram.com/repanthonybrown/?hl=en,Anthony G. Brown,instagram.com,Anthony G. Brown (@repanthonybrown) • Instagram photos ...,,1319,repanthonybrown
https://www.instagram.com/repbarbaralee/?hl=en,Barbara Lee,instagram.com,Congresswoman Barbara Lee (@repbarbaralee) • Instagram ...,,11,repbarbaralee
https://www.instagram.com/repbarragan/?hl=en,Nanette Barragán,instagram.com,Nanette Diaz Barragán (@repbarragan) • Instagram photos ...,,21,repbarragan
https://www.instagram.com/repbenmcadams/?hl=en,Ben McAdams,instagram.com,Ben McAdams UT (@repbenmcadams) • Instagram photos ...,"5066 Followers, 529 Following, 975 Posts - See Instagram photos and videos from  Ben McAdams  UT (@repbenmcadams)",8,repbenmcadams
https://www.instagram.com/repblumenauer/?hl=en,Earl Blumenauer,instagram.com,Earl Blumenauer (he/him/his) (@repblumenauer) • Instagram ...,,9839,repblumenauer
https://www.instagram.com/repbonnie/?hl=en,Bonnie Watson Coleman,instagram.com,Bonnie Watson Coleman (@repbonnie) • Instagram photos ...,,4,repbonnie
https://www.instagram.com/repbrianhiggins/?hl=en,Brian Higgins,instagram.com,Congressman Brian Higgins (@repbrianhiggins) • Instagram ...,"2700 Followers, 1358 Following, 244 Posts - See Instagram photos and videos from Congressman  Brian Higgins  (@repbrianhiggins)",3,repbrianhiggins
https://www.instagram.com/repbryansteil/?hl=en,Bryan Steil,instagram.com,Bryan Steil (@repbryansteil) • Instagram photos and videos,,24,repbryansteil
https://www.instagram.com/repcarbajal/?hl=en,Salud Carbajal,instagram.com,Congressman Salud Carbajal (@repcarbajal) • Instagram ...,,46,repcarbajal
https://www.instagram.com/repcardenas/?hl=en,Tony Cárdenas,instagram.com,U.S. Rep. Tony Cárdenas (@repcardenas) • Instagram photos ...,,2,repcardenas
https://www.instagram.com/repchrissyhoulahan/?hl=en,Chrissy Houlahan,instagram.com,Rep. Chrissy Houlahan (@repchrissyhoulahan) • Instagram ...,,1,repchrissyhoulahan
https://www.instagram.com/repdankildee/?hl=en,Dan Kildee,instagram.com,Congressman Dan Kildee (@repdankildee) • Instagram ...,"5001 Followers, 341 Following, 190 Posts - See Instagram photos and videos from Congressman  Dan Kildee  (@repdankildee)",11,repdankildee
https://www.instagram.com/repdannydavis/?hl=en,Danny K. Davis,instagram.com,Danny K. Davis (@repdannydavis) • Instagram photos and ...,,2,repdannydavis
https://www.instagram.com/repdarrensoto/?hl=en,Darren Soto,instagram.com,Congressman Darren Soto (@repdarrensoto) • Instagram ...,,20,repdarrensoto
https://www.instagram.com/repdianadegette/?hl=en,Diana DeGette,instagram.com,Rep. Diana DeGette (@repdianadegette) • Instagram photos ...,,3,repdianadegette
https://www.instagram.com/repdmp_/?hl=en,Debbie Mucarsel-Powell,instagram.com,Debbie Mucarsel-Powell (@repdmp_) • Instagram photos and ...,"3746 Followers, 127 Following, 225 Posts - See Instagram photos and videos from  Debbie Mucarsel - Powell  (@repdmp_)",2,repdmp_
https://www.instagram.com/repdonbacon/?hl=en,Don Bacon,instagram.com,Don Bacon (@repdonbacon) • Instagram photos and videos,"Don Bacon . U.S. Representative, retired Air Force Brigadier General, father and grandfather proudly representing Nebraska's 2nd Congressional District.",55,repdonbacon
https://www.instagram.com/repdonbeyer/?hl=en,Don Beyer,instagram.com,Congressman Don Beyer (@repdonbeyer) • Instagram photos ...,,3,repdonbeyer
https://www.instagram.com/repdustyjohnson/?hl=en,Dusty Johnson,instagram.com,Rep. Dusty Johnson (@repdustyjohnson) • Instagram photos ...,,7,repdustyjohnson
https://www.instagram.com/repfrankpallone/,Frank Pallone,instagram.com,"Rep. Frank Pallone, Jr. (@repfrankpallone) • Instagram photos ...",,2,repfrankpallone
https://www.instagram.com/repfrankpallone/?hl=en,Frank Pallone,instagram.com,"Rep. Frank Pallone, Jr. (@repfrankpallone) • Instagram photos ...",,8,repfrankpallone
https://www.instagram.com/repgaramendi/?hl=en,John Garamendi,instagram.com,John Garamendi (@repgaramendi) • Instagram photos and ...,,4,repgaramendi
https://www.instagram.com/repgilcisneros/?hl=en,Gil Cisneros,instagram.com,Congressman Gil Cisneros (@repgilcisneros) • Instagram ...,"2411 Followers, 208 Following, 434 Posts - See Instagram photos and videos from Congressman  Gil Cisneros  (@repgilcisneros)",2,repgilcisneros
https://www.instagram.com/repglenngrothman/?hl=en,Glenn Grothman,instagram.com,Rep. Glenn Grothman (@repglenngrothman) • Instagram ...,,12,repglenngrothman
https://www.instagram.com/repgregorymeeks/?hl=en,Gregory Meeks,instagram.com,Gregory Meeks (@repgregorymeeks) • Instagram photos and ...,,429,repgregorymeeks
https://www.instagram.com/rephankjohnson/?hl=en,Hank Johnson,instagram.com,Congressman Hank Johnson (@rephankjohnson) • Instagram ...,"7951 Followers, 2083 Following, 926 Posts - See Instagram photos and videos from Congressman  Hank Johnson  (@rephankjohnson)",1,rephankjohnson
https://www.instagram.com/rephartzler/?hl=en,Vicky Hartzler,instagram.com,Vicky Hartzler (@rephartzler) • Instagram photos and videos,,880,rephartzler
https://www.instagram.com/repjayapal/?hl=en,Pramila Jayapal,instagram.com,Pramila Jayapal (@repjayapal) • Instagram photos and videos,,29,repjayapal
https://www.instagram.com/repjeffries/?hl=en,Hakeem Jeffries,instagram.com,Congressman Hakeem Jeffries (@repjeffries) • Instagram ...,"147.8k Followers, 321 Following, 1496 Posts - See Instagram photos and videos from Congressman  Hakeem Jeffries  (@repjeffries)",19,repjeffries
https://www.instagram.com/repjimbanks/?hl=en,Jim Banks,instagram.com,Jim Banks (@repjimbanks) • Instagram photos and videos,,1,repjimbanks
https://www.instagram.com/repjimhimes/?hl=en,Jim Himes,instagram.com,Representative Jim Himes (@repjimhimes) • Instagram photos ...,"8274 Followers, 249 Following, 741 Posts - See Instagram photos and videos from Representative  Jim Himes  (@repjimhimes)",30,repjimhimes
https://www.instagram.com/repjoecourtney/?hl=en,Joe Courtney,instagram.com,Joe Courtney (@repjoecourtney) • Instagram photos and videos,,1739,repjoecourtney
https://www.instagram.com/repjoseserrano/?hl=en,José E. Serrano,instagram.com,Jose E. Serrano (@repjoseserrano) • Instagram photos and ...,,3,repjoseserrano
https://www.instagram.com/repjoshharder/?hl=en,Josh Harder,instagram.com,Rep. Josh Harder (@repjoshharder) • Instagram photos and ...,,1,repjoshharder
https://www.instagram.com/repjudychu/?hl=en,Judy Chu,instagram.com,Rep. Judy Chu (@repjudychu) • Instagram photos and videos,,3,repjudychu
https://www.instagram.com/replarrybucshon/?hl=en,Larry Bucshon,instagram.com,Larry Bucshon (@replarrybucshon) • Instagram photos and ...,"1756 Followers, 381 Following, 302 Posts - See Instagram photos and videos from  Larry Bucshon  (@replarrybucshon)",90,replarrybucshon
