url,title,text,path,qry
https://www.youtube.com/watch?v=MNSBWLy5jLw,,,watch,Jackie Walorski
https://www.youtube.com/watch?v=0c5l4PNWOnw,,,watch,Emanuel Cleaver
https://www.youtube.com/watch?v=t2yFQ4ftMHc,Congress Grills Barr on Firing of US Attorney ...,"“... there is no mechanism for a president to contest an election that has clearly been won by the opponent,” sa...MORE",watch,Hakeem Jeffries
https://www.youtube.com/watch?v=irqpKKF6HAU,Rep. Billy Long jokingly auctioned off the Stanley Cup,Roll Call,watch,Billy Long
https://www.youtube.com/watch?v=sLkDCF_EbqI,"Anthony Gonzalez - Proud Corazón (From ""Coco""/Sing-Along)",DisneyMusicVEVO,watch,Anthony Gonzalez
https://www.youtube.com/watch?v=caJ15fjeVuI,A Valley health expert says Rep. Andy Biggs gave ...,azfamily powered by 3TV ...,watch,Andy Biggs
https://www.youtube.com/watch?v=Oo9BrR1bj_w,WATCH: Rep. Jackie Speier's full questioning of Hill and ...,PBS NewsHour,watch,Jackie Speier
https://www.youtube.com/watch?v=vqzPPbyppaw,HMF LCV Rep. Xochitl Torres Small (NM-02),League of Conservation Voters,watch,Xochitl Torres Small
https://www.youtube.com/watch?v=c3TJi3yjs_E,Congressman Richard Neal victory speech,MassLive,watch,Richard Neal
https://www.youtube.com/watch/COiIC3A0ROM,Al Green - Let's Stay Together - YouTube,,watch,Al Green
https://www.youtube.com/watch?v=vBTG2CUq72k,,,watch,Debbie Mucarsel-Powell
https://www.youtube.com/watch?v=5wl3sTacc68,Justin Amash: People Want a President 'Who Is Normal ...,,watch,Justin Amash
https://m.youtube.com/watch?v=5ZODiMjDKLY,,,watch,Devin Nunes
https://www.youtube.com/watch?v=bXqZllqGWGQ,Congresswoman Alexandria Ocasio-Cortez's Guide to Her ...,Vogue,watch,Alexandria Ocasio-Cortez
https://www.youtube.com/watch?v=CZBV_-Ocux4,Ilhan Omar likes to pretend 'the US is cruel and oppressive',Sky News Australia,watch,Ilhan Omar
https://www.youtube.com/watch?v=V4LoGsGnQs8,House Speaker Nancy Pelosi holds her weekly news ...,CNBC Television,watch,Nancy Pelosi
https://www.youtube.com/watch?v=sPjCWxm3bqM,''Difficulty' With Passing New Stimulus 'Is Mark Meadows ...,MSNBC,watch,Mark Meadows
https://www.youtube.com/watch?v=HfnYXbXkKQ4,Restoring Our Design - Bill Johnson (Full Sermon ... - YouTube,,watch,Bill Johnson
https://www.youtube.com/watch?v=tUDysugY5So,Rep. Harley Rouda on Coronavirus Bill,,watch,Harley Rouda
https://www.youtube.com/watch?v=zeqsZsXJMJI,"Rep. Ted Deutch: 'We Need To Move Forward, We Need To ...",,watch,Ted Deutch
https://www.youtube.com/watch?v=0qhd6yGGxqM,Frank Lucas American Snitch Obituary,Al Profit,watch,Frank Lucas
https://www.youtube.com/watch?v=tvwNtfarV6c,DNI John Ratcliffe explains decision to curtail election intel ...,Fox News,watch,John Ratcliffe
https://www.youtube.com/watch?v=fzxkoOD_Nhc,Rep. Ted Lieu Says The Way To Decrease Security Threats Is ...,,watch,Ted Lieu
https://www.youtube.com/watch?v=jiSyKon9VmY,Trump attacks Nancy Pelosi over 'Salongate',Guardian News,watch,Nancy Pelosi
https://www.youtube.com/watch?v=s_WQcqnQSpg,Ilhan Omar responds to Trump's racist attack: He spreads the ...,CNN,watch,Ilhan Omar
https://www.youtube.com/watch?v=hGsnutjOqLQ,"Frank Lucas on 'American Gangster', 5 Hits on Him, Telling on ...",djvlad,watch,Frank Lucas
https://www.youtube.com/watch?v=7BSgNY-UAuo,Rep. Rashida Tlaib Endorses Bernie Sanders for President,Bernie Sanders,watch,Rashida Tlaib
https://www.youtube.com/watch?v=rqqAnjY2Rmo&feature=share,Al Green - Love and Happiness,,watch,Al Green
https://www.youtube.com/watch?v=WolVEMFbUcs,,,watch,Billy Long
https://www.youtube.com/watch?v=oDw5GoLfcOU,Salud Carbajal tests positive for COVID-19,KSBY News,watch,Salud Carbajal
https://www.youtube.com/watch?v=A0azOIk0Kvg,"Anthony Gonzalez, Ana Ofelia Murguía - Remember Me ...",DisneyMusicVEVO,watch,Anthony Gonzalez
https://www.youtube.com/watch?v=we7bS7IZSYk,Watch Rep. Jim Clyburn's Full Speech At The 2020 DNC ...,NBC News,watch,Jim Clyburn
https://www.youtube.com/watch?v=5deppjbx02c,Maxine Waters' challenger slams her for living in mansion ...,Fox Business,watch,Maxine Waters
https://www.youtube.com/watch?v=mkC8I0Xc8ys,"Texas This Week: Rep. Chip Roy (R), candidate for U.S. ...",KVUE,watch,Chip Roy
https://www.youtube.com/watch?v=LkVt0M8bvB0,"Xochitl Torres Small, Yvette Herrell face off in first TV debate",KOAT,watch,Xochitl Torres Small
https://www.youtube.com/watch?v=rxmqcyxti1M,Al Green - Let's Stay Together [Video],Cilla Sounds,watch,Al Green
https://www.youtube.com/watch?v=XYAn2kMmtZQ,Nancy Pelosi: President Donald Trump is putting himself first ...,CNBC Television,watch,Nancy Pelosi
https://www.youtube.com/watch?v=-5RU9lYSMXM,"You Are My Everything, Al Green, 1993",Soulful Sounds,watch,Al Green
https://www.youtube.com/user/McClintockCA04,Congressman Tom McClintock - YouTube,,user,Tom McClintock
https://www.youtube.com/watch?v=4vngvRzsC8A,Minnesota Rep. Jim Hagedorn flew home despite being ...,WKBT TV,watch,Jim Hagedorn
https://m.youtube.com/watch?v=QxIEfyPZAW4,,,watch,Hal Rogers
https://www.youtube.com/watch?v=vvhHCPyPLM8,Former Cardinal All-Star 'Smokey' Joe Cunningham dies,,watch,Joe Cunningham
https://www.youtube.com/watch?v=YRKF_DRfkUA,WATCH: Rep. Dan Crenshaw's full speech at the Republican ...,PBS NewsHour,watch,Dan Crenshaw
https://www.youtube.com/watch?v=7ucuh9FvYmQ,,,watch,Judy Chu
