"location","hits","keyword","geo","gprop"
"Missouri",NA,"Greg Steube","US","web"
"Mississippi",NA,"Greg Steube","US","web"
"Montana",NA,"Greg Steube","US","web"
"North Carolina",NA,"Greg Steube","US","web"
"North Dakota",NA,"Greg Steube","US","web"
"Nebraska",NA,"Greg Steube","US","web"
"New Hampshire",NA,"Greg Steube","US","web"
"New Jersey",NA,"Greg Steube","US","web"
"New Mexico",NA,"Greg Steube","US","web"
"Nevada",NA,"Greg Steube","US","web"
"New York",NA,"Greg Steube","US","web"
"Ohio",NA,"Greg Steube","US","web"
"Oklahoma",NA,"Greg Steube","US","web"
"Oregon",NA,"Greg Steube","US","web"
"Pennsylvania",NA,"Greg Steube","US","web"
"Rhode Island",NA,"Greg Steube","US","web"
"South Carolina",NA,"Greg Steube","US","web"
"South Dakota",NA,"Greg Steube","US","web"
"Tennessee",NA,"Greg Steube","US","web"
"Texas",NA,"Greg Steube","US","web"
"Utah",NA,"Greg Steube","US","web"
"Virginia",NA,"Greg Steube","US","web"
"Vermont",NA,"Greg Steube","US","web"
"Washington",NA,"Greg Steube","US","web"
"Wisconsin",NA,"Greg Steube","US","web"
"West Virginia",NA,"Greg Steube","US","web"
"Arkansas",NA,"Greg Steube","US","web"
"Florida",100,"Brian Mast","US","web"
"District of Columbia",64,"Brian Mast","US","web"
"Virginia",6,"Brian Mast","US","web"
"Colorado",6,"Brian Mast","US","web"
"Maryland",5,"Brian Mast","US","web"
"Washington",4,"Brian Mast","US","web"
"Ohio",4,"Brian Mast","US","web"
"Illinois",3,"Brian Mast","US","web"
"New York",2,"Brian Mast","US","web"
"Texas",2,"Brian Mast","US","web"
"California",2,"Brian Mast","US","web"
"Alaska",NA,"Brian Mast","US","web"
"Wyoming",NA,"Brian Mast","US","web"
"Idaho",NA,"Brian Mast","US","web"
"Hawaii",NA,"Brian Mast","US","web"
"Indiana",NA,"Brian Mast","US","web"
"Kansas",NA,"Brian Mast","US","web"
"Kentucky",NA,"Brian Mast","US","web"
"Louisiana",NA,"Brian Mast","US","web"
"Massachusetts",NA,"Brian Mast","US","web"
"Georgia",NA,"Brian Mast","US","web"
"Maine",NA,"Brian Mast","US","web"
"Michigan",NA,"Brian Mast","US","web"
"Minnesota",NA,"Brian Mast","US","web"
"Missouri",NA,"Brian Mast","US","web"
"Mississippi",NA,"Brian Mast","US","web"
"Montana",NA,"Brian Mast","US","web"
"North Carolina",NA,"Brian Mast","US","web"
"North Dakota",NA,"Brian Mast","US","web"
"Nebraska",NA,"Brian Mast","US","web"
"New Hampshire",NA,"Brian Mast","US","web"
"New Jersey",NA,"Brian Mast","US","web"
"New Mexico",NA,"Brian Mast","US","web"
"Nevada",NA,"Brian Mast","US","web"
"Delaware",NA,"Brian Mast","US","web"
"Connecticut",NA,"Brian Mast","US","web"
"Oklahoma",NA,"Brian Mast","US","web"
"Oregon",NA,"Brian Mast","US","web"
"Pennsylvania",NA,"Brian Mast","US","web"
"Rhode Island",NA,"Brian Mast","US","web"
"South Carolina",NA,"Brian Mast","US","web"
"South Dakota",NA,"Brian Mast","US","web"
"Tennessee",NA,"Brian Mast","US","web"
"Arizona",NA,"Brian Mast","US","web"
"Utah",NA,"Brian Mast","US","web"
"Arkansas",NA,"Brian Mast","US","web"
"Vermont",NA,"Brian Mast","US","web"
"Alabama",NA,"Brian Mast","US","web"
"Wisconsin",NA,"Brian Mast","US","web"
"West Virginia",NA,"Brian Mast","US","web"
"Iowa",NA,"Brian Mast","US","web"
"Alabama",100,"Martha Roby","US","web"
"Alaska",NA,"Martha Roby","US","web"
"Arkansas",NA,"Martha Roby","US","web"
"Arizona",NA,"Martha Roby","US","web"
"California",NA,"Martha Roby","US","web"
"Colorado",NA,"Martha Roby","US","web"
"Connecticut",NA,"Martha Roby","US","web"
"District of Columbia",NA,"Martha Roby","US","web"
"Delaware",NA,"Martha Roby","US","web"
"Florida",NA,"Martha Roby","US","web"
"Georgia",NA,"Martha Roby","US","web"
"Hawaii",NA,"Martha Roby","US","web"
"Iowa",NA,"Martha Roby","US","web"
"Idaho",NA,"Martha Roby","US","web"
"Illinois",NA,"Martha Roby","US","web"
"Indiana",NA,"Martha Roby","US","web"
"Kansas",NA,"Martha Roby","US","web"
"Kentucky",NA,"Martha Roby","US","web"
"Louisiana",NA,"Martha Roby","US","web"
"Massachusetts",NA,"Martha Roby","US","web"
"Maryland",NA,"Martha Roby","US","web"
"Maine",NA,"Martha Roby","US","web"
"Michigan",NA,"Martha Roby","US","web"
"Minnesota",NA,"Martha Roby","US","web"
"Missouri",NA,"Martha Roby","US","web"
"Mississippi",NA,"Martha Roby","US","web"
"Montana",NA,"Martha Roby","US","web"
"North Carolina",NA,"Martha Roby","US","web"
"North Dakota",NA,"Martha Roby","US","web"
"Nebraska",NA,"Martha Roby","US","web"
"New Hampshire",NA,"Martha Roby","US","web"
"New Jersey",NA,"Martha Roby","US","web"
"New Mexico",NA,"Martha Roby","US","web"
"Nevada",NA,"Martha Roby","US","web"
"New York",NA,"Martha Roby","US","web"
"Ohio",NA,"Martha Roby","US","web"
"Oklahoma",NA,"Martha Roby","US","web"
"Oregon",NA,"Martha Roby","US","web"
"Pennsylvania",NA,"Martha Roby","US","web"
"Rhode Island",NA,"Martha Roby","US","web"
"South Carolina",NA,"Martha Roby","US","web"
"South Dakota",NA,"Martha Roby","US","web"
"Tennessee",NA,"Martha Roby","US","web"
"Texas",NA,"Martha Roby","US","web"
"Utah",NA,"Martha Roby","US","web"
"Virginia",NA,"Martha Roby","US","web"
"Vermont",NA,"Martha Roby","US","web"
"Washington",NA,"Martha Roby","US","web"
"Wisconsin",NA,"Martha Roby","US","web"
"West Virginia",NA,"Martha Roby","US","web"
"Wyoming",NA,"Martha Roby","US","web"
"District of Columbia",100,"Mike Rogers","US","web"
"Alabama",94,"Mike Rogers","US","web"
"Arkansas",64,"Mike Rogers","US","web"
"Oklahoma",41,"Mike Rogers","US","web"
"Kentucky",36,"Mike Rogers","US","web"
"Kansas",36,"Mike Rogers","US","web"
"Minnesota",35,"Mike Rogers","US","web"
"Missouri",30,"Mike Rogers","US","web"
"Michigan",29,"Mike Rogers","US","web"
"Tennessee",23,"Mike Rogers","US","web"
"Maryland",22,"Mike Rogers","US","web"
"Virginia",21,"Mike Rogers","US","web"
"South Carolina",21,"Mike Rogers","US","web"
"North Carolina",20,"Mike Rogers","US","web"
"Washington",19,"Mike Rogers","US","web"
"Massachusetts",19,"Mike Rogers","US","web"
"Georgia",18,"Mike Rogers","US","web"
"Pennsylvania",17,"Mike Rogers","US","web"
"Texas",17,"Mike Rogers","US","web"
"Colorado",16,"Mike Rogers","US","web"
"Illinois",16,"Mike Rogers","US","web"
"Florida",14,"Mike Rogers","US","web"
"Wisconsin",13,"Mike Rogers","US","web"
"Ohio",12,"Mike Rogers","US","web"
"New Jersey",12,"Mike Rogers","US","web"
"Arizona",12,"Mike Rogers","US","web"
"California",12,"Mike Rogers","US","web"
