"qry","qry_clean","Twitter","governor","congress","candidate","state","district","party","chamber","date_started_position","full_term","Notes","relevance_score","in_data"
"Andrew Yang","Andrew Yang","AndrewYang",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Beto O Rourke","Beto O Rourke","BetoORourke",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Bill de Blasio","Bill de Blasio","BilldeBlasio",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Donald Trump","Donald Trump","realDonaldTrump",FALSE,FALSE,TRUE,"National",NA,"Republican",NA,NA,1,NA,6,1
"Howard Schultz","Howard Schultz","HowardSchultz",FALSE,FALSE,TRUE,"National",NA,"Independent",NA,NA,1,NA,6,1
"Joe Biden","Joe Biden","JoeBiden",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"John Delaney","John Delaney","JohnDelaney",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,"MD-6 in 2019",5,1
"John Hickenlooper","John Hickenlooper","Hickenlooper",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"John Kasich","John Kasich","JohnKasich",FALSE,FALSE,TRUE,"National",NA,"Republican",NA,NA,1,NA,6,1
"Julian Castro","Julian Castro","JulianCastro",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,"Twins with Joaqin castro, but he was never house rep",6,1
"Julian Castro","Julian Castro","JulianCastro",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Marianne Williamson","Marianne Williamson","Marwilliamson",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Michael Bloomberg","Michael Bloomberg","MikeBloomberg",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,5,1
"Mike Gravel","Mike Gravel",NA,FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Pete Buttigieg","Pete Buttigieg","PeteButtigieg",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Tom Steyer","Tom Steyer","TomSteyer",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Wayne Messam","Wayne Messam","WayneMessam",FALSE,FALSE,TRUE,"National",NA,"Democrat",NA,NA,1,NA,6,1
"Roy Cooper","Roy Cooper","NC_Governor",TRUE,FALSE,FALSE,"NC",NA,"Democrat",NA,"1-Jan-17",1,NA,6,1
"Douglas Burgum","Douglas Burgum","DougBurgum",TRUE,FALSE,FALSE,"ND",NA,"Republican",NA,"15-Dec-16",1,NA,6,1
"John Ricketts","John Ricketts","PeteRicketts",TRUE,FALSE,FALSE,"NE",NA,"Republican",NA,"8-Jan-15",1,"Better known as Pete Ricketts",0,1
"Christopher Sununu","Christopher Sununu","ChrisSununu",TRUE,FALSE,FALSE,"NH",NA,"Republican",NA,"5-Jan-17",1,NA,4,1
"Philip Murphy","Philip Murphy","GovMurphy",TRUE,FALSE,FALSE,"NJ",NA,"Democrat",NA,"16-Jan-18",1,NA,4,1
"Michelle Lujan Grisham","Michelle Lujan Grisham","GovMLG",TRUE,FALSE,FALSE,"NM",NA,"Democrat",NA,"1-Jan-19",1,NA,5,1
"Steve Sisolak","Steve Sisolak","SteveSisolak",TRUE,FALSE,FALSE,"NV",NA,"Democrat",NA,"7-Jan-19",1,NA,6,1
"Andrew Cuomo","Andrew Cuomo","andrewcuomo",TRUE,FALSE,FALSE,"NY",NA,"Democrat",NA,"1-Jan-11",1,NA,6,1
"Andrew Cuomo","Andrew Cuomo","NYGovCuomo",TRUE,FALSE,FALSE,"NY",NA,"Democrat",NA,"1-Jan-11",1,NA,6,1
"Michael DeWine","Michael DeWine","MikeDeWine",TRUE,FALSE,FALSE,"OH",NA,"Republican",NA,"14-Jan-19",1,NA,6,1
"Kevin Stitt","Kevin Stitt","GovStitt",TRUE,FALSE,FALSE,"OK",NA,"Republican",NA,"14-Jan-19",1,NA,6,1
"Katherine Brown","Katherine Brown","OregonGovBrown",TRUE,FALSE,FALSE,"OR",NA,"Democrat",NA,"18-Feb-15",1,"Better known at Kate Brown",0,1
"Thomas Wolf","Thomas Wolf","TomWolfPA",TRUE,FALSE,FALSE,"PA",NA,"Democrat",NA,"20-Jan-15",1,NA,0,1
"Gina Raimondo","Gina Raimondo","GovRaimondo",TRUE,FALSE,FALSE,"RI",NA,"Democrat",NA,"6-Jan-15",1,NA,6,1
"Gina Raimondo","Gina Raimondo","GinaRaimondo",TRUE,FALSE,FALSE,"RI",NA,"Democrat",NA,"6-Jan-15",1,NA,6,1
"Henry McMaster","Henry McMaster","henrymcmaster",TRUE,FALSE,FALSE,"SC",NA,"Republican",NA,"24-Jan-17",1,NA,6,1
"Kristi Noem","Kristi Noem","GovKristiNoem",TRUE,FALSE,FALSE,"SD",NA,"Republican",NA,"5-Jan-19",1,NA,6,1
"Bill Lee","Bill Lee","GovBillLee",TRUE,FALSE,FALSE,"TN",NA,"Republican",NA,"19-Jan-19",1,NA,6,1
"Gregory Abbott","Gregory Abbott","GregAbbott_TX",TRUE,FALSE,FALSE,"TX",NA,"Republican",NA,"20-Jan-15",1,"Better known as Greg Abbott",0,1
"Gregory Abbott","Gregory Abbott","GovAbbott",TRUE,FALSE,FALSE,"TX",NA,"Republican",NA,"20-Jan-15",1,"Better known as Greg Abbott",0,1
"Gary Herbert","Gary Herbert","GovHerbert",TRUE,FALSE,FALSE,"UT",NA,"Republican",NA,"11-Aug-09",1,NA,6,1
"Ralph Northam","Ralph Northam","GovernorVA",TRUE,FALSE,FALSE,"VA",NA,"Democrat",NA,"13-Jan-18",1,NA,6,1
"Philip Scott","Philip Scott","GovPhilScott",TRUE,FALSE,FALSE,"VT",NA,"Republican",NA,"5-Jan-17",1,NA,4,1
"Jay Inslee","Jay Inslee","GovInslee",TRUE,FALSE,TRUE,"WA",NA,"Democrat",NA,"16-Jan-13",1,NA,6,1
"Tony Evers","Tony Evers","GovEvers",TRUE,FALSE,FALSE,"WI",NA,"Democrat",NA,"7-Jan-19",1,NA,6,1
"Tony Evers","Tony Evers","Tony4WI",TRUE,FALSE,FALSE,"WI",NA,"Democrat",NA,"7-Jan-19",1,NA,6,1
"James Justice","James Justice","WVGovernor",TRUE,FALSE,FALSE,"WV",NA,"Republican",NA,"16-Jan-17",1,"Better known as Jim Justice",3,1
"Mark Gordon","Mark Gordon","GovernorGordon",TRUE,FALSE,FALSE,"WY",NA,"Republican",NA,"7-Jan-19",1,NA,5,1
